rowid	repo	accession	total citations	date made public	article reference	PubMed ID	Data Collection Article DOI	in ISI Web of Science? (Y/N)	How many merged citation records?	WoS Cited by how many?	COMMENTS	Dropbox filenames (for multiple files or multiple citations)	Google Scholar Search Term	Search results	Imported to Mendeley?														
12	ArrayExpress	E-MEXP-469	38	11/28/2005	Schommer C, Palatnik JF, Aggarwal P, ChÃ©telat A, Cubas P, Farmer EE, Nath U,Weigel D. Control of jasmonate biosynthesis and senescence by miR319 targets.PLoS Biol. 2008 Sep 23;6(9):e230. PubMed PMID: 18816164; PubMed Central PMCID:PMC2553836.	18816164		y	3	38			E-MEXP-469	0															
13	ArrayExpress	E-MEXP-370	1	8/1/2005	Delahaye NF, Coltel N, Puthier D, Flori L, Houlgatte R, Iraqi FA, Nguyen C,Grau GE, Rihet P. Gene-expression profiling discriminates between cerebralmalaria (CM)-susceptible mice and CM-resistant mice. J Infect Dis. 2006 Jan15;193(2):312-21. Epub 2005 Dec 5. PubMed PMID: 16362897.	16362897		y	1	1			E-MEXP-370	0															
14	ArrayExpress	E-TABM-29	1	8/16/2005	Cummings CA, Bootsma HJ, Relman DA, Miller JF. Species- and strain-specificcontrol of a complex, flexible regulon by Bordetella BvgAS. J Bacteriol. 2006Mar;188(5):1775-85. PubMed PMID: 16484188; PubMed Central PMCID: PMC1426559.	16484188		y	1	1			E-TABM-29	1	y														
15	ArrayExpress	E-MEXP-283		3/30/2005	citation missing 																								
16	ArrayExpress	E-CAGE-21		9/7/2005	citation missing																								
17	ArrayExpress	E-MEXP-350	12	6/6/2005	Microarray analysis of differentially expressed genes after exposure of normal human fibroblasts to ionizing radiation from an external source and from DNA-incorporated iodine-125 radionuclide. Sokolov MV, Smirnova NA, Camerini-Otero RD, Neumann RD, Panyutin IG. Gene 382:47-56 (Gene), PubMed 16876969	16876969		y	1	12			E-MEXP-350	1	y														
18	ArrayExpress	E-MEXP-439		9/30/2005	Genome Biol 						primary citation on ArrayExpress database only had journal reference - INCOMPLETE			0															
19	ArrayExpress	E-MEXP-301		4/13/2005	Nils Rostoks; Peter Hedley; Hui Liu; Robbie Waugh.						primary citation on ArrayExpress database only had author's names - INCOMPLETE																		
20	ArrayExpress	E-CAGE-52		10/20/2005	citation missing																								
21	ArrayExpress	E-MNIA-73		9/21/2005	High-throughput screen for genes predominantly expressed in the ICM of mouse blastocysts by whole mount in situ hybridization. Yoshikawa,Toshiyuki ;Yulan Piao;Jinhui Zhong;Ryo Matoba;Mark G. Carter;Yuxia Wang;Ilya Goldberg;Minoru S.H. Ko. Mech Dev  (Mech Dev)	16325481		n			not found in ISI Web of Science database																		
22	ArrayExpress	E-MEXP-483	92	11/17/2005	Meletis K, Wirta V, Hede SM, NistÃ©r M, Lundeberg J, FrisÃ©n J. p53 suppressesthe self-renewal of adult neural stem cells. Development. 2006 Jan;133(2):363-9. PubMed PMID: 16368933.	16368933		y	1	92			E-MEXP-483	0															
23	ArrayExpress	E-RZPD-18		6/3/2005	citation missing 																								
24	ArrayExpress	E-MEXP-257	35	1/28/2005	Cobb J, Duboule D. Comparative analysis of genes downstream of the Hoxdcluster in developing digits and external genitalia. Development. 2005Jul;132(13):3055-67. PubMed PMID: 15944189.	15944189		y	1	35			E-MEXP-257	0															
25	ArrayExpress	E-TABM-56	62	11/11/2005	Sandmann T, Jensen LJ, Jakobsen JS, Karzynski MM, Eichenlaub MP, Bork P,Furlong EE. A temporal map of transcription factor activity: mef2 directlyregulates target genes at all stages of muscle development. Dev Cell. 2006Jun;10(6):797-807. PubMed PMID: 16740481.	16740481		y	1	62			E-TABM-56	1	y														
26	ArrayExpress	E-MEXP-324	33	5/9/2005	Smirnova JB, Selley JN, Sanchez-Cabo F, Carroll K, Eddy AA, McCarthy JE,Hubbard SJ, Pavitt GD, Grant CM, Ashe MP. Global gene expression profilingreveals widespread yet distinctive translational responses to differenteukaryotic translation initiation factor 2B-targeting stress pathways. Mol CellBiol. 2005 Nov;25(21):9340-9. PubMed PMID: 16227585; PubMed Central PMCID:PMC1265828.	16227585		y	1	33			E-MEXP-324	1	y														
27	ArrayExpress	E-MEXP-268	10	2/22/2005	IjÃ_s P, Nuotio K, Saksi J, Soinne L, Saimanen E, Karjalainen-Lindsberg ML,Salonen O, Sarna S, Tuimala J, Kovanen PT, Kaste M, Lindsberg PJ. Microarrayanalysis reveals overexpression of CD163 and HO-1 in symptomatic carotid plaques.Arterioscler Thromb Vasc Biol. 2007 Jan;27(1):154-60. Epub 2006 Nov 9. PubMedPMID: 17095719.	17095719		y	2	10			E-MEXP-268	3	y														
28	ArrayExpress	E-TOXM-17	6	10/7/2005	Laboratory variability does not preclude identification of biological functions impacted by hydroxyurea. Muller A, Boitier E, Hu T, Carr GJ, Le Fevre AC, Marchandeau JP, Flor M, Jefferson F, Aardema MJ, Thybaud V. Environ Mol Mutagen 46(3):121-140 (Environ Mol Mutagen)	16127667		y	1	6			E-TOXM-17	0															
29	ArrayExpress	E-MEXP-429	65	9/26/2005	Borrello MG, Alberti L, Fischer A, Degl'innocenti D, Ferrario C, Gariboldi M, Marchesi F, Allavena P, Greco A, Collini P, Pilotti S, Cassinelli G, Bressan P,Fugazzola L, Mantovani A, Pierotti MA. Induction of a proinflammatory program in normal human thyrocytes by the RET/PTC1 oncogene. Proc Natl Acad Sci U S A. 2005 Oct 11;102(41):14825-30. Epub 2005 Oct 3. PubMed PMID: 16203990; PubMed CentralPMCID: PMC1253545.	16203990		y	2	65			E-MEXP-429	3	y														
30	ArrayExpress	E-TABM-42	606	10/18/2005	Calin GA, Ferracin M, Cimmino A, Di Leva G, Shimizu M, Wojcik SE, Iorio MV,Visone R, Sever NI, Fabbri M, Iuliano R, Palumbo T, Pichiorri F, Roldo C, Garzon R, Sevignani C, Rassenti L, Alder H, Volinia S, Liu CG, Kipps TJ, Negrini M,Croce CM. A MicroRNA signature associated with prognosis and progression inchronic lymphocytic leukemia. N Engl J Med. 2005 Oct 27;353(17):1793-801. Erratumin: N Engl J Med. 2006 Aug 3;355(5):533. PubMed PMID: 16251535.	16251535		y	3	606	2 dropbox files: (E-TABM-42_files1to500) and (E-TABM-42_files501to606)		E-TABM-42	0															
31	ArrayExpress	E-MEXP-233		3/16/2005	citation missing 																								
32	ArrayExpress	E-MEXP-438	53	10/1/2005	Two major branches of anti-cadmium defense in the mouse: MTF-1/metallothioneins and glutathione. Wimmer, Ursula; Wang, Ying; Georgiev, Oleg; Schaffner, Walter. Nucleic Acids Res 33(18):5715 (Nucleic Acids Res), PubMed 16221973	16221973		y	2	53			E-MEXP-438	0															
33	ArrayExpress	E-MARS-4	46	10/21/2005	Gene expression profiling of human mesenchymal stem cells derived from bone marrow during expansion and osteoblast differentiation. Kulterer B, Friedl G, Jandrositz A, Sanchez-Cabo F, Prokesch A, Paar C, Scheideler M, Windhager R, Preisegger KH, Trajanoski Z. BMC genomics 12(8):70 (BMC genomics), PubMed 17352823	17352823		y	3	46			E-MARS-4	0															
34	ArrayExpress	E-MEXP-412	13	8/25/2005	Meta-analysis of Differentiating Mouse Embryonic Stem Cell Gene Expression Kinetics Reveals Early Change of a Small Gene Set. Glover, C.H., Marin, M., Eaves, C.J., Helgason, C.D., Piret, J.M., Bryan, J. PLoS Comput Biol 2(11):e158 (PLoS Comput Biol), PubMed 17121458	17121458		y	2	13			E-MEXP-412	1	y														
35	ArrayExpress	E-MEXP-307		4/21/2005	Maria Marcela Baudo; Rebecca Lyons; Stephen Powers; Melloney McCluskey; Keith Edwards; Peter Shewry; Michael Holdsworth.						primary citation on ArrayExpress database only had author's names - INCOMPLETE																		
36	ArrayExpress	E-MEXP-182	53	2/14/2005	BroschÃ© M, Vinocur B, Alatalo ER, LamminmÃ_ki A, Teichmann T, Ottow EA,Djilianov D, Afif D, Bogeat-Triboulot MB, Altman A, Polle A, Dreyer E, Rudd S,Paulin L, Auvinen P, KangasjÃ_rvi J. Gene expression and metabolite profiling ofPopulus euphratica growing in the Negev desert. Genome Biol. 2005;6(12):R101.Epub 2005 Dec 2. PubMed PMID: 16356264; PubMed Central PMCID: PMC1414072.	16356264		y	5	53			E-MEXP-182	0															
37	ArrayExpress	E-MEXP-443		11/3/2005	Sessa G, Carabelli M, Sassi M, Ciolfi A, Possenti M, Mittempergher F, BeckerJ, Morelli G, Ruberti I. A dynamic balance between gene activation and repressionregulates the shade avoidance response in Arabidopsis. Genes Dev. 2005 Dec1;19(23):2811-5. PubMed PMID: 16322556; PubMed Central PMCID: PMC1315388.	16322556		n 																					
38	ArrayExpress	E-MEXP-364		8/3/2005	citation missing																								
39	ArrayExpress	E-MEXP-258	2	2/14/2005	Boucneau J, De Schepper S, Vuylsteke M, Van Hummelen P, Naeyaert JM, LambertJ. Gene expression profiling of cultured human NF1 heterozygous (NF1+/-)melanocytes reveals downregulation of a transcriptional cis-regulatory networkmediating activation of the melanocyte-specific dopachrome tautomerase (DCT)gene. Pigment Cell Res. 2005 Aug;18(4):285-99. PubMed PMID: 16033338.	16033338		y	1	2			E-MEXP-258	0															
40	ArrayExpress	E-MEXP-378	17	7/14/2005	Renzoni A, Barras C, FranÃ§ois P, Charbonnier Y, Huggler E, Garzoni C, KelleyWL, Majcherczyk P, Schrenzel J, Lew DP, Vaudaux P. Transcriptomic and functional analysis of an autolysis-deficient, teicoplanin-resistant derivative ofmethicillin-resistant Staphylococcus aureus. Antimicrob Agents Chemother. 2006Sep;50(9):3048-61. PubMed PMID: 16940101; PubMed Central PMCID: PMC1563528.	16940101		y	1	17	2 citations found - dropbox files: E-MEXP-378_Renzoni2006 and E-MEXP-378_Vlachou2005		E-MEXP-378	0															
41	ArrayExpress	E-MEXP-378	61	7/14/2005	Vlachou D, Schlegelmilch T, Christophides GK, Kafatos FC. Functional genomicanalysis of midgut epithelial responses in Anopheles during Plasmodium invasion. Curr Biol. 2005 Jul 12;15(13):1185-95. PubMed PMID: 16005290.	16005290		y	2	61			E-MEXP-378																
42	ArrayExpress	E-RZPD-21		6/8/2005	citation missing																								
43	ArrayExpress	E-TABM-14	45	6/24/2005	Huber W, Toedling J, Steinmetz LM. Transcript mapping with high-densityoligonucleotide tiling arrays. Bioinformatics. 2006 Aug 15;22(16):1963-70. Epub2006 Jun 20. PubMed PMID: 16787969.	16787969		y	1	45	E-TABM-14_Bioinformatics2006		E-TABM-14	1	y														
44	ArrayExpress	E-TABM-14	190	6/24/2005	David L, Huber W, Granovskaia M, Toedling J, Palm CJ, Bofkin L, Jones T, DavisRW, Steinmetz LM. A high-resolution map of transcription in the yeast genome.Proc Natl Acad Sci U S A. 2006 Apr 4;103(14):5320-5. Epub 2006 Mar 28. PubMedPMID: 16569694; PubMed Central PMCID: PMC1414796.	16569694		y	1	190	E-TABM-14_ProcNatlAcadSciUSA2006		E-TABM-14																
45	ArrayExpress	E-MEXP-390	15	7/26/2005	Allen WL, McLean EG, Boyer J, McCulla A, Wilson PM, Coyle V, Longley DB,Casero RA Jr, Johnston PG. The role of spermidine/spermine N1-acetyltransferasein determining response to chemotherapeutic agents in colorectal cancer cells.Mol Cancer Ther. 2007 Jan;6(1):128-37. PubMed PMID: 17237273.	17237273		y	1	15			E-MEXP-390	3	y														
46	ArrayExpress	E-TABM-11	28	4/29/2005	Lacroix L, Lazar V, Michiels S, Ripoche H, Dessen P, Talbot M, Caillou B,Levillain JP, Schlumberger M, Bidart JM. Follicular thyroid tumors with thePAX8-PPARgamma1 rearrangement display characteristic genetic alterations. Am JPathol. 2005 Jul;167(1):223-31. PubMed PMID: 15972966; PubMed Central PMCID:PMC1603430.	15972966		y	1	28			E-TABM-11	0															
47	ArrayExpress	E-MEXP-250	9	3/15/2005	AhrÃ©n D, Tholander M, Fekete C, Rajashekar B, Friman E, Johansson T, Tunlid A.Comparison of gene expression in trap cells and vegetative hyphae of thenematophagous fungus Monacrosporium haptotylum. Microbiology. 2005 Mar;151(Pt3):789-803. PubMed PMID: 15758225.	15758225		y	1	9			E-MEXP-250	0															
48	ArrayExpress	E-MEXP-415	307	8/31/2005	Eriksson S, Lucchini S, Thompson A, Rhen M, Hinton JC. Unravelling the biologyof macrophage infection by gene expression profiling of intracellular Salmonella enterica. Mol Microbiol. 2003 Jan;47(1):103-18. PubMed PMID: 12492857.	12492857		y	2	307			E-MEXP-415	0															
49	ArrayExpress	E-MEXP-237	2	1/12/2005	Hohnjec N, Vieweg MF, PÃ_hler A, Becker A, KÃ_ster H. Overlaps in thetranscriptional profiles of Medicago truncatula roots inoculated with twodifferent Glomus fungi provide insights into the genetic program activated duringarbuscular mycorrhiza. Plant Physiol. 2005 Apr;137(4):1283-301. Epub 2005 Mar 18.PubMed PMID: 15778460; PubMed Central PMCID: PMC1088321.	15778460		y	1	2			E-MEXP-237	0															
50	ArrayExpress	E-MEXP-513	20	12/19/2005	Bouveret R, SchÃ¶nrock N, Gruissem W, Hennig L. Regulation of flowering time byArabidopsis MSI1. Development. 2006 May;133(9):1693-702. Epub 2006 Mar 22. PubMedPMID: 16554362.	16554362		y	1	20			E-MEXP-513	0															
51	ArrayExpress	E-AFMX-12	60	4/4/2005	Moggs JG, Tinwell H, Spurway T, Chang HS, Pate I, Lim FL, Moore DJ, Soames A, Stuckey R, Currie R, Zhu T, Kimber I, Ashby J, Orphanides G. Phenotypic anchoringof gene expression changes during estrogen-induced uterine growth. Environ HealthPerspect. 2004 Nov;112(16):1589-606. PubMed PMID: 15598610; PubMed Central PMCID:PMC1247656.	15598610		y	1	60			E-AFMX-12	0															
52	ArrayExpress	E-TABM-64	28	11/21/2005	Langland JO, Kash JC, Carter V, Thomas MJ, Katze MG, Jacobs BL. Suppression ofproinflammatory signal transduction and gene expression by the dual nucleic acid binding domains of the vaccinia virus E3L proteins. J Virol. 2006Oct;80(20):10083-95. PubMed PMID: 17005686; PubMed Central PMCID: PMC1617298.	17005686		y	1	28			E-TABM-64	0															
53	ArrayExpress	E-NASC-45		1/13/2005	citation missing 																								
54	ArrayExpress	E-MIMR-43	89	5/11/2005	The nuclear receptor co-repressor nrip1 (RIP140) is essential for female fertility. White, R. Nat Med 6(12):1368-74 (Nat Med)	11100122		y	2	89	2 citations found - dropbox files: E-MIMR-43_NatMed		E-MIMR-43	0															
55	ArrayExpress	E-MIMR-43	20	5/11/2005	Embryo transfer experiments and ovarian transplantation identify the ovary as the only site in which the nuclear receptor interacting protein1/RIP140 action is crucial for female fertility. Leonardsson, G. Endocrinology 143(2):700-707 (Endocrinology) (Ovarian phenotype work)	11796527		y	1	20	E-MIMR-43_Endocrinology		E-MIMR-43																
56	ArrayExpress	E-MEXP-405	48	8/19/2005	Meijer AH, Verbeek FJ, Salas-Vidal E, Corredor-AdÃ¡mez M, Bussman J, van derSar AM, Otto GW, Geisler R, Spaink HP. Transcriptome profiling of adult zebrafishat the late stage of chronic tuberculosis due to Mycobacterium marinum infection.Mol Immunol. 2005 Jun;42(10):1185-203. Epub 2005 Jan 12. PubMed PMID: 15829308	15829308		y	3	48			E-MEXP-405	1	y														
57	ArrayExpress	E-MEXP-297	10	4/6/2005	Sievertzon M, Wirta V, Mercer A, Meletis K, Erlandsson R, WikstrÃ¶m L, FrisÃ©nJ, Lundeberg J. Transcriptome analysis in primary neural stem cells using a tagcDNA amplification method. BMC Neurosci. 2005 Apr 15;6:28. PubMed PMID: 15833137;PubMed Central PMCID: PMC1112599.	15833137		y	2	10			E-MEXP-297	0															
58	ArrayExpress	E-MEXP-484		11/23/2005	Christine Mallard; Nicolas Ugolin; Ludovic Lacroix; Jean-Michel Bidart; Bernard Caillou; Martin Schlumberger; Bernard Malfoy; Sylvie Chevillard.						citation only has authors' names - INCOMPLETE																		
59	ArrayExpress	E-MEXP-284	21	5/20/2005	Brown AR, Rebus S, McKimmie CS, Robertson K, Williams A, Fazakerley JK. Geneexpression profiling of the preclinical scrapie-infected hippocampus. BiochemBiophys Res Commun. 2005 Aug 19;334(1):86-95. PubMed PMID: 15992767.	15992767		y	1	21			E-MEXP-284	0															
60	ArrayExpress	E-MEXP-309		4/22/2005	Maria Marcela Baudo; Rebecca Lyons; Stephen Powers; Melloney Mc Cluskey; Keith Edwards; Peter Shewry; Michael Holdsworth.						citation only has authors' names - INCOMPLETE																		
61	ArrayExpress	E-MEXP-508	12	12/12/2005	Besson-Bard A, Gravot A, Richaud P, Auroy P, Duc C, Gaymard F, Taconnat L,Renou JP, Pugin A, Wendehenne D. Nitric oxide contributes to cadmium toxicity in Arabidopsis by promoting cadmium accumulation in roots and by up-regulating genesrelated to iron uptake. Plant Physiol. 2009 Mar;149(3):1302-15. Epub 2009 Jan 23.PubMed PMID: 19168643; PubMed Central PMCID: PMC2649387.	19168643		y	1	12			E-MEXP-508	0															
62	ArrayExpress	E-MNIA-69	74	11/21/2005	In Situ-Synthesized Novel Microarray Optimized for Mouse Stem Cell and Early Developmental Expression Profiling. Carter,Mark G.;Toshio Hamatani;Alexei A. Sharov;Condie E. Carmack;Yong Qian;Kazuhiro Aiba;Naomi T. Ko;Dawood B. Dudekula;Pius M. Brzoska;Stuart S. Hwang;Minoru S.H. Ko. Genome Res 13:1011-1021 (Genome Res)	12727912		y	2	74			E-MNIA-69	0															
63	ArrayExpress	E-MARS-2	21	7/18/2005	Hackl H, Burkard TR, Sturn A, Rubio R, Schleiffer A, Tian S, Quackenbush J,Eisenhaber F, Trajanoski Z. Molecular processes during fat cell developmentrevealed by gene expression profiling and functional annotation. Genome Biol.2005;6(13):R108. Epub 2005 Dec 19. PubMed PMID: 16420668; PubMed Central PMCID:PMC1414107.	16420668		y	1	21			E-MARS-2	1	y														
64	ArrayExpress	E-MEXP-306		4/20/2005	Maria Marcela Baudo; Rebecca Lyons; Stephen Powers; Melloney McCluskey; Keith Edwards; Michael Holdsworth; Peter Shewry.						citation only has authors' names - INCOMPLETE																		
65	ArrayExpress	E-MEXP-355		6/16/2005	Maoxian Deng; Wei-Li Chen; Atsushi Takatori; Zhimin Peng; Lin Zhang; Maureen Mongan; Ranjani Parthasarathy; Maureen Sartor; Marian Miller; Jianhua Yang; Bing Su; Winston W-Y Kao; Ying Xia. EMBO J 						citation only has authors' names - INCOMPLETE																		
66	ArrayExpress	E-TABM-40	36	11/3/2005	Willinger T, Freeman T, Hasegawa H, McMichael AJ, Callan MF. Molecularsignatures distinguish human central memory from effector memory CD8 T cellsubsets. J Immunol. 2005 Nov 1;175(9):5895-903. PubMed PMID: 16237082.	16237082		y	1	36			E-TABM-40	1	y														
67	ArrayExpress	E-TABM-3	100	2/14/2005	Winnepenninckx V, Lazar V, Michiels S, Dessen P, Stas M, Alonso SR, Avril MF, Ortiz Romero PL, Robert T, Balacescu O, Eggermont AM, Lenoir G, Sarasin A, Tursz T, van den Oord JJ, Spatz A; Melanoma Group of the European Organization forResearch and Treatment of Cancer. Gene expression profiling of primary cutaneous melanoma and clinical outcome. J Natl Cancer Inst. 2006 Apr 5;98(7):472-82.PubMed PMID: 16595783.	16595783		y	2	100			E-TABM-3	0															
68	ArrayExpress	E-MEXP-294	41	3/31/2005	Boulias K, Katrakili N, Bamberg K, Underhill P, Greenfield A, Talianidis I.Regulation of hepatic metabolic pathways by the orphan nuclear receptor SHP. EMBOJ. 2005 Jul 20;24(14):2624-33. Epub 2005 Jun 23. PubMed PMID: 15973435; PubMedCentral PMCID: PMC1176456.	15973435		y	1	41			E-MEXP-294	0															
69	ArrayExpress	E-MEXP-230	136	7/19/2005	FoxM1 is required for execution of the mitotic program and chromosome stability. Jamila Laoukili; Matthijs Kooistra; Alexandra BrÃ¡s; Jos Kauw; Ron Kerkhoven; Ashby Morrison; Hans Clevers; RenÃ© Medema. Nat Cell Biol 7:126-136 (Nat Cell Biol), PubMed 15654331	15654331		y	1	136			E-MEXP-230	1	y														
70	ArrayExpress	E-TABM-27	34	8/16/2005	Species- and Strain-Specific Control of a Complex, Flexible Regulon by Bordetella BvgAS. Cummings, C. A.; Bootsma, H. J.; Relman, D. A.; Miller, J. F. The Journal of Bacteriology 188(5):1775 (The Journal of Bacteriology), PubMed 16484188	16484188		y	1	34			E-TABM-27	0															
71	ArrayExpress	E-MEXP-486	8	11/17/2005	Multiple polymorphic loci determine basal hepatic and splenic iron status in mice. Grant GR, Robinson SW, Edwards RE, Clothier B, Davies R, Judah DJ, Broman KW, Smith AG. Hepatology 44:174-185 (Hepatology), PubMed 16799992	16799992		y	1	8			E-MEXP-486	0															
72	ArrayExpress	E-FPMI-6	25	9/5/2005	Bovine and human cathelicidin cationic host defense peptides similarly suppress transcriptional responses to bacterial lipopolysaccharide. Mookherjee, Neeloffer; Wilson, Heather L.; Doria, Silvana; Popowych, Yurij; Falsafi, Reza; Yu, Jie (Jessie); Li, YueXin; Veatch, Sarah; Roche, Fiona M.; Brown, Kelly L.; Brinkman, Fiona S. L.; Hokamp, Karsten; Potter, Andy; Babiuk, Lorne A.; Griebel, Philip J.; Hancock, Robert E. W. J Leukoc Biol 80(6):1563 (J Leukoc Biol), PubMed 16943385	16943385		y	2	25			E-FPMI-6	0															
73	ArrayExpress	E-MEXP-360	14	6/17/2005	Tendon xanthomas in familial hypercholesterolemia are associated with a differential inflammatory response of macrophages to oxidized LDL. Marta Artieda; Ana Cenarro; Corina Junquera; Pilar Lasierra; Maria Jose Martinez-Lorenzo; Miguel Pocovi; Fernando Civeira. FEBS Lett  (FEBS Lett), PubMed 16083882	16083882		y	1	14			E-MEXP-360	0															
74	ArrayExpress	E-TABM-51	25	12/14/2005	van Leeuwen H, Kliebenstein DJ, West MA, Kim K, van Poecke R, Katagiri F,Michelmore RW, Doerge RW, St Clair DA. Natural variation among Arabidopsisthaliana accessions for transcriptome response to exogenous salicylic acid. PlantCell. 2007 Jul;19(7):2099-110. Epub 2007 Jul 13. PubMed PMID: 17630278; PubMedCentral PMCID: PMC1955704	17630278		y	1	25	dropbox filename: E-TABM-51_Kliebenstein DJ		E-TABM-51	0															
75	ArrayExpress	E-TABM-51		12/14/2005	Genomic survey of gene expression diversity in Arabidopsis thaliana. Kliebenstein DJ, West MA, van Leeuwen H, Kim K, Doerge RW, Michelmore RW, St Clair DA. Genetics :1179-89 (Genetics), PubMed 16204207	16204207					dropbox filename: E-TABM-51_Kli		E-TABM-51																
76	ArrayExpress	E-MEXP-321	17	4/28/2005	The inflammatory transcriptome of reactive murine astrocytes and implications for their immune functions. Jeppe Falsig; Peter PÃ¶rzgen; Soren Lund; Andre Schrattenholz; Marcel Leist. J Immunol 	16405499		y	1	17			E-MEXP-321	0															
77	ArrayExpress	E-MEXP-386		7/19/2005	citation missing																								
78	ArrayExpress	E-MEXP-277	13	3/9/2005	Cooperative Disengagement of Fas and Intercellular Adhesion Molecule-1 Function in Neoplastic Cells Confers Enhanced Colonization Efficiency. Kebin Liu; Sheila Caldwell; Scott Abrams. Cancer Res 65:1045-1054 (Cancer Res), PubMed 15705906	15705906		y	1	13			E-MEXP-277	0															
79	ArrayExpress	E-MEXP-375	23	8/17/2005	Laterally transferred elements and high pressure adaptation in Photobacterium profundum strains. Stefano Campanaro, Alessandro Vezzi, Nicola Vitulo, Federico M Lauro, Michela D^Ã’Angelo, Francesca Simonato, Alessandro Cestaro, Giorgio Malacrida, Giulio Bertoloni, Giorgio Valle, Douglas H Bartlett. BMC Genomics 6:122 (BMC Genomics), PubMed 16162277	16162277		y	1	23			E-MEXP-375	0															
80	ArrayExpress	E-MEXP-393	16	7/27/2005	Le Priol Y, Puthier D, LÃ©cureuil C, CombadiÃ¨re C, DebrÃ© P, Nguyen C,CombadiÃ¨re B. High cytotoxic and specific migratory potencies of senescent CD8+CD57+ cells in HIV-infected and uninfected individuals. J Immunol. 2006 Oct15;177(8):5145-54. PubMed PMID: 17015699.	17015699		y	1	16			E-MEXP-393	0															
81	ArrayExpress	E-MEXP-482		11/14/2005	citation missing																								
82	ArrayExpress	E-UMCU-20	74	5/12/2005	A high resolution protein interaction map of the yeast Mediator complex. Guglielmi B, van Berkum NL, Klapholz B, Bijma T, Boube M, Boschiero C, Bourbon HM, Holstege FC, Werner M. Nucleic Acids Res 32(18):5379-91 (Nucleic Acids Res)	15477388		y	1	74	this had 4 different citations, but they were all cited from the same journal article, but the other 3 had different PubMed reference numbers		E-UMCU-20	0															
